kpa-data
;;;;
code;age;gender;education;answers
ÇDÜY;21-30;Kadın;Yüksek Lisans;a,b,a,a,a,a,a,a,a,a,a,a,a,b,b,a,b,a,a,a,a,a,b,b,b,a,a,b,a,b,a,b
ÇDÜY;21-30;Erkek;Üniversite;b,a,b,a,a,a,b,a,a,b,a,a,b,b,b,a,a,a,a,a,b,a,b,b,a,a,a,a,a,b,b,b
ŞDÜY;21-30;Erkek;Üniversite;a,a,a,b,a,a,a,b,b,b,b,a,b,a,a,a,a,a,a,a,b,b,b,a,a,a,b,b,a,a,b,a
ŞSÜY;21-30;Kadın;Üniversite;a,b,a,a,a,a,a,b,b,a,b,a,b,a,a,b,a,b,b,a,a,b,a,a,a,b,a,b,a,a,b,b
ÇSUY;31-40;Kadın;Yüksek Lisans;a,b,b,a,a,a,b,b,b,a,b,b,a,b,b,b,b,b,a,b,b,a,b,a,a,b,b,a,a,a,b,b
ÇDUA;31-40;Kadın;Lise;a,b,a,b,b,a,b,a,b,b,b,b,a,b,b,b,a,b,a,b,a,a,b,a,a,b,a,a,a,a,b,b
ŞSÜY;21-30;Kadın;Üniversite;a,a,a,a,a,b,b,b,b,b,b,a,a,b,a,b,a,b,a,a,b,b,b,b,b,b,a,a,b,a,a,a
ÇDUY;31-40;Erkek;Üniversite;b,a,b,a,a,b,b,b,b,a,a,a,b,a,a,a,b,a,b,b,b,a,b,a,b,a,a,b,a,b,b,a
ÇDÜY;31-40;Kadın;Üniversite;a,a,b,a,a,a,b,a,a,b,b,a,a,b,b,b,a,a,a,a,a,a,b,a,a,a,a,b,a,b,a,b
ÇDÜY;31-40;Erkek;Üniversite;b,a,b,b,a,a,b,b,a,b,b,a,a,a,b,a,a,a,b,a,b,a,a,b,b,a,b,b,b,b,a,b
ŞSÜY;21-30;Kadın;Üniversite;a,b,a,a,a,a,b,b,a,a,b,a,a,b,b,b,b,b,b,b,a,b,b,a,b,a,a,b,a,a,a,a
ÇSÜY;31-40;Erkek;Yüksek Lisans;a,a,a,a,a,a,b,b,a,b,a,a,a,b,b,a,b,a,a,a,b,a,b,a,b,b,b,a,b,a,b,b
ŞDUA;31-40;Kadın;Üniversite;a,b,b,a,a,b,b,a,b,b,b,b,a,b,a,b,b,a,b,b,a,a,b,b,b,a,b,b,a,a,b,a
ÇSÜY;21-30;Kadın;Yüksek Lisans;b,a,a,a,a,a,a,b,a,a,b,b,a,b,b,b,a,a,b,a,b,a,b,b,b,a,a,a,a,a,a,b
ŞSÜY;41-50;Erkek;Lise;b,b,b,a,a,a,a,b,a,a,b,a,b,b,a,a,b,a,b,b,b,a,a,a,a,a,a,a,a,a,b,a
ÇDÜY;21-30;Erkek;Yüksek Lisans;a,a,a,a,a,a,a,b,a,b,a,a,a,b,a,b,a,b,b,a,a,b,b,b,a,a,b,a,b,a,a,b
ÇSÜY;31-40;Kadın;Yüksek Lisans;a,a,a,a,a,b,b,a,b,a,b,a,a,b,b,b,b,b,a,b,b,a,b,b,a,b,b,a,a,a,a,a
ÇDÜY;41-50;Kadın;Doktora;a,a,a,b,a,b,b,a,a,b,a,a,a,b,b,a,b,b,b,a,b,a,b,b,b,a,a,b,a,a,b,b
ÇSÜA;41-50;Erkek;Üniversite;a,b,a,b,a,a,b,a,b,a,b,a,a,b,b,a,b,b,a,a,b,a,a,a,a,b,b,b,a,a,b,a
ŞSÜY;21-30;Kadın;Üniversite;a,b,a,a,a,b,b,a,b,b,b,a,b,b,b,b,b,b,b,a,a,a,b,b,a,b,a,a,a,a,a,a
ÇSÜA;31-40;Kadın;Üniversite;a,a,a,a,a,b,b,a,b,b,b,b,b,b,b,a,b,b,b,b,b,a,b,a,a,b,a,a,a,b,b,a
ÇSÜY;21-30;Kadın;Üniversite;a,b,b,a,a,b,a,a,a,a,b,a,a,b,b,b,a,a,b,a,a,a,b,a,a,a,b,a,a,a,a,a
ÇSÜY;21-30;Kadın;Yüksek Lisans;a,b,a,a,a,b,b,a,b,a,a,a,b,a,b,a,b,b,a,a,b,a,b,b,a,a,a,b,a,b,b,b
ŞSÜA;41-50;Erkek;Yüksek Lisans;a,b,b,b,a,a,b,a,b,a,a,a,b,a,b,a,a,a,a,a,b,b,b,a,a,a,a,b,a,a,b,a
ŞSUA;21-30;Kadın;Üniversite;a,a,b,a,b,b,b,b,b,a,b,b,b,a,a,b,b,b,a,b,a,a,a,a,a,b,a,a,a,b,b,b
ÇSÜA;41-50;Kadın;Lise;a,a,b,a,a,a,b,a,a,a,b,b,b,b,a,b,a,a,a,a,b,a,b,b,b,b,b,a,a,a,b,a
ÇDÜY;21-30;Erkek;Yüksek Lisans;a,b,a,b,a,a,b,a,a,a,b,a,a,b,b,a,a,b,b,b,b,a,b,b,a,a,a,a,a,b,a,b
ÇDÜA;31-40;Kadın;Üniversite;b,b,b,b,a,a,a,a,b,b,a,a,a,a,b,a,a,b,b,b,a,b,b,b,a,b,a,b,a,b,b,a
ŞSUA;31-40;Erkek;Yüksek Lisans;a,b,b,a,a,a,b,a,a,a,b,b,b,a,a,a,b,a,a,b,b,b,b,a,a,b,a,a,a,a,b,a
